temperature_C,pH,enrichment,thymine_fraction,dna_yield,half_life_hours,stability_ratio,k_U,k_T,k_C,k_A,poly_rate,uv_resistance_ratio,vesicle_fraction,comp_U,comp_T,comp_C,comp_A
67.0,7.0,0.4782942054855907,0.03928020045050745,226223.07438015583,15.867795026050297,95.639050060374,1.307075515250287e-05,1.2424323199145596e-07,5.17856331348716e-05,2.0669933379984267e-06,0.0708872718315736,4.107142857142857,0.612,141584.0,6208.0,908.0,9344.0
67.0,7.5,0.4777519280034453,0.03923566558482401,222199.6655965621,15.543253505174363,96.75016984665795,1.3345977484821075e-05,1.254024341622579e-07,5.24494770427684e-05,2.104178005661292e-06,0.0907478878050014,4.107142857142857,0.714,142508.0,6238.0,898.0,9344.0
67.0,8.0,0.4850021687631377,0.039831095985378456,224154.6540109071,14.590392892191806,100.1244584695366,1.4228009159291743e-05,1.2918475644100203e-07,5.460401153204119e-05,2.2239101144695943e-06,0.09624385575567936,4.107142857142857,0.816,142053.0,6320.0,936.0,9361.0
67.0,8.5,0.4884843102648579,0.04011706895894968,228336.02664673526,12.35858343471509,108.66465053719219,1.6870736187575025e-05,1.4114095818626994e-07,6.130546303122466e-05,2.5876360591821778e-06,0.08960253227494636,4.107142857142857,0.714,140768.0,6319.0,873.0,9554.0
67.0,9.0,0.4747006603434675,0.0389850783856954,221597.4365749892,8.860266408766572,121.57207002303488,2.3498963617553072e-05,1.7572041171732798e-07,7.983726383183931e-05,3.532480363088524e-06,0.07599455430094192,4.107142857142857,0.612,142179.0,6192.0,949.0,9510.0
67.0,9.5,0.48027502547979817,0.03944287648867908,226755.24108180756,5.96716131030759,124.19577221901297,3.492373342398031e-05,2.556355019176284e-07,0.00011857694543665236,5.271820814606332e-06,0.060000829634230604,4.107142857142857,0.51,141317.0,6233.0,943.0,9533.0
67.0,10.0,0.4936469662256818,0.04054105519727822,229099.28405395712,4.473477284976656,112.54033542756322,4.657578436795142e-05,3.762350804431036e-07,0.00016885953310937434,7.185772606411004e-06,0.04468405835899635,4.107142857142857,0.408,140790.0,6387.0,906.0,9461.0
70.0,5.0,0.4734433778446744,0.038881823301253456,222135.50919496358,13.344315795337234,95.14354464089358,1.5547518842353706e-05,1.4855561763912247e-07,6.181820667060992e-05,2.46205210528772e-06,0.010932191992650832,4.107142857142857,0.19125,141602.0,6145.0,885.0,9411.0
70.0,5.5,0.4755067479933891,0.03905127882071312,221561.30860850716,14.54085677750624,95.15294218116527,1.4254393983116215e-05,1.3618643509707613e-07,5.6672688519813675e-05,2.2572183693866445e-06,0.0164039615725964,4.107142857142857,0.286875,142087.0,6199.0,958.0,9496.0
70.0,6.0,0.4765099998664012,0.03913367148661266,224459.3596917523,15.994216375900619,95.1843363687421,1.2966140755555404e-05,1.2383760959581005e-07,5.153885405743803e-05,2.0530414497864684e-06,0.02621368827634094,4.107142857142857,0.3825,141859.0,6203.0,941.0,9505.0
70.0,6.5,0.47252504046944555,0.03880640428976123,222589.46347092965,15.956906025529387,95.28871903119975,1.2991450668251256e-05,1.2394341972991817e-07,5.159957480760516e-05,2.0564542715916986e-06,0.04489978984098584,4.107142857142857,0.47812499999999997,141726.0,6137.0,910.0,9371.0
70.0,7.0,0.4830805134189032,0.039673278879813305,227791.66955068597,15.884898383281527,95.63286476956637,1.3075320871647353e-05,1.24294669688113e-07,5.180104199950088e-05,2.067768848069434e-06,0.07090515426248863,4.107142857142857,0.57375,141001.0,6256.0,912.0,9519.0
70.0,7.5,0.475677887208642,0.0390653337321107,221800.65704403294,15.520420959087165,96.74391269609224,1.3350639341323882e-05,1.2545435177793084e-07,5.2465083434786884e-05,2.104967466954941e-06,0.09077078038913432,4.107142857142857,0.6693749999999999,140674.0,6139.0,971.0,9363.0
70.0,8.0,0.4768194943524706,0.03915908890817392,215425.95458471292,14.5943015645102,100.11798309266699,1.4232979116501443e-05,1.2923823996849898e-07,5.462025900785597e-05,2.224744497754281e-06,0.0962681347842987,4.107142857142857,0.765,142365.0,6227.0,909.0,9517.0
70.0,8.5,0.47815056043623144,0.03926840351408664,222908.02786406266,12.31443949864713,108.65762283811257,1.687662927043783e-05,1.4119939167738814e-07,6.132370453033739e-05,2.5886069078961548e-06,0.08962513592510549,4.107142857142857,0.6693749999999999,141749.0,6222.0,973.0,9504.0
