temperature_C,pH,enrichment,thymine_fraction,dna_yield,half_life_hours,stability_ratio,k_U,k_T,k_C,k_A,poly_rate,uv_resistance_ratio,vesicle_fraction,comp_U,comp_T,comp_C,comp_A
76.0,5.0,2.63722700020146,0.21658385991992668,1524229.8441569852,19.736165670631305,95.13155574189399,1.555810235819851e-05,1.4867547688296123e-07,6.185405157719493e-05,2.4638522660573387e-06,0.010937566094832629,4.107142857142857,0.16575,23788.0,8980.0,196.0,8498.0
76.0,5.5,2.668268462520712,0.21913315875773964,1530990.2489800504,21.41889970569651,95.14095209799538,1.426409724227339e-05,1.3629631450380098e-07,5.670554982937475e-05,2.2588687633601537e-06,0.016412025514918,4.107142857142857,0.24862499999999998,23552.0,8954.0,207.0,8148.0
76.0,6.0,2.732204165712978,0.2243839169909209,1530679.5458722096,23.69748935074665,95.1723423296365,1.2974967074244825e-05,1.2393752559010798e-07,5.156873854469e-05,2.0545425572034777e-06,0.026226574533685622,4.107142857142857,0.3315,23438.0,9169.0,198.0,8058.0
76.0,6.5,2.7390571422250733,0.22494672182524758,1534798.4313213902,23.651997057668275,95.27671183898741,1.3000294215918802e-05,1.2404342109508838e-07,5.162949450341031e-05,2.0579578743368573e-06,0.04492186190656143,4.107142857142857,0.41437500000000005,22869.0,8972.0,196.0,7848.0
76.0,7.0,2.680465114281665,0.22013481614873578,1530967.8672774744,23.451816803116674,95.62081421205254,1.3084221511487325e-05,1.2439495445255857e-07,5.1831078514817016e-05,2.069280723611361e-06,0.07094001017651563,4.107142857142857,0.49724999999999997,23508.0,9046.0,221.0,8318.0
76.0,7.5,2.638908382520376,0.21672194445819515,1529098.1446161852,22.916317619104447,96.7317221370531,1.3359727396108692e-05,1.2555557220957355e-07,5.249550499044143e-05,2.106506540741072e-06,0.09081540194803674,4.107142857142857,0.580125,23239.0,8756.0,202.0,8205.0
76.0,8.0,2.7195580091635714,0.22334534374773293,1526410.3058904398,21.648796454435267,100.10536737194869,1.4242667798118471e-05,1.293425133575761e-07,5.4651930228799326e-05,2.2263711480427467e-06,0.09631545876045366,4.107142857142857,0.663,23724.0,9236.0,191.0,8202.0
76.0,8.5,2.65955657177872,0.21841768946974996,1525534.481087561,18.27930426765513,108.64393104987138,1.6888117539087104e-05,1.4131331569174655e-07,6.135926270290052e-05,2.590499600822333e-06,0.08966919430231318,4.107142857142857,0.580125,23731.0,9058.0,209.0,8473.0
76.0,9.0,2.656754962213577,0.21818760559241937,1527008.5026302438,13.088512506416844,121.54888943071757,2.3523173808635722e-05,1.7593499671245713e-07,7.9907326406515e-05,3.536389492649785e-06,0.0760510923354139,4.107142857142857,0.49724999999999997,23537.0,8911.0,208.0,8185.0
76.0,9.5,2.797411345349071,0.22973909599485123,1535255.7682199706,8.889466785636099,124.17209135577853,3.495971417076026e-05,2.559476770508285e-07,0.00011868100469038591,5.277654741046062e-06,0.06004546874035359,4.107142857142857,0.41437500000000005,23125.0,9281.0,194.0,7798.0
76.0,10.0,2.694190880306718,0.22126205297204932,1528441.4914493877,6.610955186158581,112.51887694919472,4.6623769830532855e-05,3.766945285067366e-07,0.0001690077187194561,7.193724558928487e-06,0.04471730217304447,4.107142857142857,0.3315,23498.0,9064.0,208.0,8195.0
79.0,5.0,2.665247536271852,0.2188850633653212,1528812.49062973,19.790274450114662,95.12571504162833,1.5563261483002426e-05,1.4873390989818744e-07,6.187152351065639e-05,2.464729819633326e-06,0.010940185429238974,4.107142857142857,0.153,23381.0,8964.0,202.0,8406.0
79.0,5.5,2.724972107501475,0.2237899798431163,1527816.8867159714,21.662347819674512,95.13511082083069,1.4268827270151711e-05,1.363498822123946e-07,5.672156746392337e-05,2.2596733076862407e-06,0.0164159558759084,4.107142857142857,0.2295,23523.0,9215.0,184.0,8255.0
